11:31:21/24:8:2020/24.60/56.50/5/5
11:31:25/24:8:2020/24.60/57.90/5/5
11:31:28/24:8:2020/24.60/60.20/4/5
11:31:32/24:8:2020/24.60/59.80/4/5
11:31:36/24:8:2020/24.60/59.10/3/4
11:31:39/24:8:2020/24.60/57.20/3/4
11:31:43/24:8:2020/24.60/56.10/3/3
11:31:47/24:8:2020/24.60/55.70/3/3
11:31:51/24:8:2020/24.60/56.10/3/4
11:31:54/24:8:2020/24.60/59.00/3/4
11:31:58/24:8:2020/24.60/58.20/3/4
11:32:02/24:8:2020/24.60/57.70/3/4
11:32:05/24:8:2020/24.60/61.00/4/5
11:32:09/24:8:2020/24.60/61.10/4/5
11:32:13/24:8:2020/24.60/61.00/4/4
11:32:17/24:8:2020/24.60/60.80/4/4
11:32:20/24:8:2020/24.60/60.50/3/4
11:32:24/24:8:2020/24.60/60.40/3/4
11:32:28/24:8:2020/24.60/60.40/3/4
11:32:31/24:8:2020/24.60/60.30/3/4
11:32:35/24:8:2020/24.60/60.30/5/5
11:32:39/24:8:2020/24.60/60.40/5/5
11:32:43/24:8:2020/24.60/60.40/5/5
11:32:46/24:8:2020/24.60/60.40/5/5
11:32:50/24:8:2020/24.60/60.50/5/5
11:32:54/24:8:2020/24.60/60.50/5/5
11:32:57/24:8:2020/24.60/60.60/5/5
11:33:01/24:8:2020/24.60/60.60/5/5
11:33:05/24:8:2020/24.60/60.60/5/5
11:33:09/24:8:2020/24.60/60.60/5/5
11:33:12/24:8:2020/24.60/60.50/5/6
11:33:16/24:8:2020/24.60/60.50/5/6
11:33:20/24:8:2020/24.60/60.50/5/6
11:33:24/24:8:2020/24.60/60.60/5/6
11:33:27/24:8:2020/24.70/60.70/5/6
11:33:31/24:8:2020/24.70/60.70/5/6
11:33:35/24:8:2020/24.70/60.70/5/6
11:33:38/24:8:2020/24.70/60.80/5/6
11:33:42/24:8:2020/24.70/60.80/5/6
11:33:46/24:8:2020/24.70/60.90/5/6
11:33:50/24:8:2020/24.70/60.90/5/6
11:33:53/24:8:2020/24.70/60.90/5/6
11:33:57/24:8:2020/24.70/61.00/4/4
11:34:01/24:8:2020/24.70/61.00/4/4
11:34:04/24:8:2020/24.70/61.10/4/4
11:34:08/24:8:2020/24.70/61.10/4/4
11:34:12/24:8:2020/24.70/61.10/4/5
11:34:16/24:8:2020/24.70/61.20/4/5
11:34:19/24:8:2020/24.80/61.20/4/5
11:34:23/24:8:2020/24.80/61.30/4/5
11:34:27/24:8:2020/24.70/61.30/3/3
11:34:30/24:8:2020/24.80/61.30/3/3
11:34:34/24:8:2020/24.80/61.40/3/3
11:34:38/24:8:2020/24.70/61.30/3/3
11:34:42/24:8:2020/24.80/61.40/3/3
11:34:45/24:8:2020/24.80/61.40/3/3
11:34:49/24:8:2020/24.80/61.40/3/3
11:34:53/24:8:2020/24.80/61.50/3/3
11:34:56/24:8:2020/24.80/61.50/3/3
11:35:00/24:8:2020/24.80/61.50/3/3
11:35:04/24:8:2020/24.80/61.50/3/3
11:35:08/24:8:2020/24.80/61.50/3/3
11:35:11/24:8:2020/24.80/61.60/4/5
11:35:15/24:8:2020/24.80/61.60/4/5
11:35:19/24:8:2020/24.80/61.60/4/5
11:35:23/24:8:2020/24.80/61.60/4/5
11:35:26/24:8:2020/24.80/61.60/3/4
11:35:30/24:8:2020/24.80/61.60/3/4
11:35:34/24:8:2020/24.80/61.70/3/4
11:35:37/24:8:2020/24.80/61.70/3/4
11:35:41/24:8:2020/24.80/61.70/3/4
11:35:45/24:8:2020/24.80/61.70/3/4
11:35:49/24:8:2020/24.80/61.70/3/4
11:35:52/24:8:2020/24.80/61.70/3/4
11:35:56/24:8:2020/24.80/61.70/3/4
11:36:00/24:8:2020/24.80/61.70/3/4
11:36:03/24:8:2020/24.90/61.80/3/4
11:36:07/24:8:2020/24.90/61.80/3/4
11:36:11/24:8:2020/24.80/61.80/5/5
11:36:15/24:8:2020/24.80/61.80/5/5
11:36:18/24:8:2020/24.80/61.80/5/5
11:36:22/24:8:2020/24.80/61.80/5/5
11:36:26/24:8:2020/24.80/61.80/4/4
11:36:29/24:8:2020/24.90/61.90/4/4
11:36:33/24:8:2020/24.90/61.90/4/4
11:36:37/24:8:2020/24.90/61.90/4/4
11:36:41/24:8:2020/24.90/61.90/4/5
11:36:44/24:8:2020/24.90/62.00/4/5
11:36:48/24:8:2020/24.90/62.00/4/5
11:36:52/24:8:2020/24.90/62.00/4/5
11:36:55/24:8:2020/24.90/62.00/5/6
11:36:59/24:8:2020/24.90/62.00/5/6
11:37:03/24:8:2020/24.90/62.00/5/6
